filepath,status,difficulty,notes
kernel/cgroup/cgroup.c,no spdx,easy,GPL => GPL-2.0-only with tortured copyrights
kernel/cgroup/cpuset.c,no spdx,easy,GPL => GPL-2.0-only
kernel/cgroup/legacy_freezer.c,no spdx,medium,file is LGPL 2.1
kernel/cpu.c,no spdx,easy,GPL => GPL-2.0-only
kernel/module/kmod.c,no spdx,easy,(empty) => GPL-2.0-only
kernel/relay.c,no spdx,easy,GPL => GPL-2.0-only

init/utsversion-tmp.h,no spdx,no conversion,is a generated file

mm/memfd.c,no spdx,easy,GPL => GPL-2.0-only
mm/rmap.c,no spdx,easy,GPL => GPL-2.0-only
mm/shmem.c,no spdx,easy,GPL => GPL-2.0-only
mm/folio-compat.c,no spdx,easy,(empty) => GPL-2.0-only
mm/hugetlb_cgroup.c,no spdx,medium,file is LGPL 2.1
mm/mmu_gather.c,no spdx,easy,(empty) => GPL-2.0-only

ipc/mqueue.c,no spdx,easy,GPL => GPL-2.0-only

include/generated/asm-offsets.h,no spdx,no conversion,is a generated file
include/generated/bounds.h,no spdx,no conversion,is a generated file
include/generated/compile.h,no spdx,no conversion,is a generated file
include/generated/timeconst.h,no spdx,no conversion,is a generated file
include/generated/uapi/linux/version.h,no spdx,no conversion,is a generated file
include/generated/utsrelease.h,no spdx,no conversion,is a generated file

fs/aio.c,no spdx,easy,COPYING => GPL-2.0-only
fs/proc/util.c,no spdx,easy,(empty) => GPL-2.0-only
fs/ext4/orphan.c,no spdx,(empty) => GPL-2.0-only
fs/hugetlbfs/inode.c,no spdx,easy,GPL => GPL-2.0-only
fs/ramfs/file-mmu.c,no spdx,easy,GPL => GPL-2.0-only (by Linus)
fs/ramfs/inode.c,no spdx,easy,GPL => GPL-2.0-only (by Linus)
fs/nfs/nfs4idmap.c,no spdx
fs/nfs/nfs4proc.c,no spdx
fs/nfs/nfs4renewd.c,no spdx
fs/nfs/nfs4state.c,no spdx
fs/nfs/nfs4xdr.c,no spdx
fs/nls/nls_ascii.c,no spdx
fs/nls/nls_base.c,no spdx
fs/nls/nls_cp437.c,no spdx
fs/nls/nls_iso8859-1.c,no spdx
fs/nls/nls_utf8.c,no spdx

net/core/fib_notifier.c,no spdx
net/core/sock_diag.c,no spdx
net/dns_resolver/dns_key.c,no spdx
net/dns_resolver/dns_query.c,no spdx
net/ipv4/inetpeer.c,no spdx
net/ipv4/ipmr_base.c,no spdx
net/ipv4/netfilter.c,no spdx
net/ipv4/tcp_plb.c,no spdx
net/ipv6/fib6_notifier.c,no spdx
net/ipv6/netfilter.c,no spdx
net/netfilter/core.c,no spdx
net/netfilter/nf_conntrack_netlink.c,no spdx
net/netfilter/nfnetlink.c,no spdx
net/netfilter/nf_queue.c,no spdx
net/sunrpc/auth_gss/gss_generic_token.c,no spdx
net/sunrpc/auth_gss/gss_krb5_crypto.c,no spdx
net/sunrpc/auth_gss/gss_krb5_keys.c,no spdx
net/sunrpc/auth_gss/gss_krb5_seal.c,no spdx
net/sunrpc/auth_gss/gss_krb5_unseal.c,no spdx
net/sunrpc/auth_gss/gss_krb5_wrap.c,no spdx
net/wireless/radiotap.c,no spdx
net/wireless/reg.c,no spdx
net/wireless/shipped-certs.c,no spdx
net/wireless/shipped-certs.c,no spdx
net/wireless/trace.c,no spdx

security/selinux/flask.h,no spdx
security/selinux/av_permissions.h,no spdx
security/selinux/ss/avtab.c,no spdx

lib/glob.c,no spdx
lib/fonts/fonts.c,no spdx
lib/bucket_locks.c,no spdx
lib/crc32.c,no spdx
lib/crc32table.h,no spdx
lib/crypto/gf128mul.c,no spdx
lib/crypto/memneq.c,no spdx
lib/crypto/mpi/ec.c,no spdx
lib/crypto/mpi/mpi-add.c,no spdx
lib/crypto/mpi/mpi-bit.c,no spdx
lib/crypto/mpi/mpi-cmp.c,no spdx
lib/crypto/mpi/mpicoder.c,no spdx
